Date / Time,City,State,Country,Shape,Duration,Summary,Posted,Images
11/11/22 19:00,Fayetteville,TN,USA,Light,30 minutes,"Spotted an erratically moving, high altitude light about the size and brightness of a dim star.",12/22/22,
11/11/22 16:00,Riverside,CA,USA,Light,5 min,Partial Rainbow lighting.,12/22/22,Yes
11/11/22 02:00,Lenexa,KS,USA,Unknown,10 minutes,Video,12/22/22,
11/11/22 00:02,Lombard,IL,USA,Triangle,9 minutes,West Chicago (12:00am 11/11/2022),12/22/22,
11/10/22 22:36,Newburg,IN,USA,Circle,Over an hour now,Bright lights 5 to 6 feet off the ground,12/22/22,
11/10/22 22:35,These are from around the globe within 5 days,,,Triangle,,These are from around the globe within 5 days,12/22/22,
11/10/22 22:29,Kent,WA,USA,Light,3 mins 15 seconds,"Bright circular object hovering in one spot, shining bright flickering.",12/22/22,
11/10/22 22:15,From around the globe,,,Circle,,This is from around the globe.,12/22/22,
11/10/22 22:03,Medford,OR,USA,Changing,Over two hours,"I noticed it was hovering in the same place and when I got home we seen it from a pair of binoculars, it's a sphere of lights",12/22/22,
11/10/22 21:00,Keizer,OR,USA,Changing,Ongoing,Light making a random circular path in 2-D then changing into a 3-D globe that changed colors and was stationary. Later saw 2 more.,12/22/22,Yes
11/10/22 20:16,San Juan batista,CA,USA,Circle,For up to 3min,Ii was in my semi and notices it was levitating but making odd motions so I video it for up to 3 min I,12/22/22,
11/10/22 18:15,Fairfield,WA,USA,Light,Nightly.,"Ball of light, sometimes flashing red, white, green; sometimes bigger and solid white",12/22/22,
11/10/22 16:38,Pendleton,OR,USA,Cigar,several minutes,"While driving west near sunset, I saw a stationary vertical object in the sky.",12/22/22,
11/10/22 14:00,Brandon,,,Unknown,June/July 2019-11/2022,"Aliens and connections revealed themselves to me in summer 2019, 2020. Keep on harassing me and my child. We are sitting ducks.",12/22/22,
11/10/22 13:12,Harpursville,NY,USA,Circle,21secs.,"my son was comming down the ladder to look back up to see if roof flashing was straight,and I was looking up while holding ladder",12/22/22,
11/10/22 00:00,Tampa,FL,USA,Circle,?,me my wife and my parents where outside in the back of my house on the porch and saw a flying circle with 6 green dots,12/22/22,
11/9/22 22:40,Weirton,WV,USA,Cylinder,10 minutes,I have pictures,12/22/22,Yes
11/9/22 22:33,Hinsdale,NH,USA,Unknown,About 15 minutes.,"I could not see a craft, but for about 15 minutes, a large portion of the sky (stars) were blacked out completely. A ""MOVING blur""",12/22/22,
11/9/22 21:15,Burbank,CA,USA,Triangle,About 10 minutes,Single triangular black very large aircraft silent at moderate speed into SFV at SE traveled W separated into 3 triangular craft,12/22/22,
11/9/22 20:30,Peoria,AZ,USA,Light,"Three times, over 20 mins","I saw a red light appear then 3 other lights slowly started to appear, equally spaced apart. It stayed for about 5 seconds then faded",12/22/22,
11/9/22 19:30,Carthage,TN,USA,Cylinder,Few min,"2 orange cylinder shaped few min I have pic hundred ft from ground, no noise slow at speedn it was glowing orange round",12/22/22,
11/9/22 19:28,Franklin,IN,USA,Rectangle,20 minutes,Looked like fire in the sky. Objects moving too slow to meteor or comment. Kept disappearing and reappearing every 5 or so minutes.,12/22/22,Yes
11/9/22 18:33,Belvidere,IL,USA,Light,All night every night,They come nightly on ground and in sky,12/22/22,
11/9/22 17:55,Sacramento,CA,USA,Circle,60 seconds,A object that looked like a possible comet or UFO unidentified flying object,12/22/22,
11/9/22 17:40,Albany,OR,USA,Light,1 minute,2 green flashing lights,12/22/22,
11/9/22 17:30,Albuquerque,NM,USA,Oval,4 minutes,"Taking sunset pictures, noticed a weird ""cloud""",12/22/22,Yes
11/9/22 17:20,Gorham,ME,USA,Star,10 seconds,A bright gold light (looked like a star but much brighter) moved across the sky unnaturally and then went out,12/22/22,
11/9/22 10:00,Bakersfield,,,Other,22 seconds of footage,Type of energy beams before and after a Humanoid figure appearing behind me.,12/22/22,
11/9/22 05:20,Loveland,CO,USA,Formation,,My buddy suggested we go outside to watch a lunar eclipse when approx at 5:20am we sighted 4 what we thought were stars,12/22/22,Yes
11/9/22 01:30,Elyria,OH,USA,Fireball,>5 seconds,A fireball like object appeared out of nowhere and streaked away.,12/22/22,
11/9/22 01:30,Elyria,OH,USA,Fireball,2-4 seconds,Fireball that picks a direction and flies away,12/22/22,
11/8/22 23:15,Henderson,NV,USA,Star,90 minutes,Star like craft slowly moved across sky,12/22/22,
11/8/22 22:59,Kentwood,MI,USA,Unknown,1 year,Aliens are entering our world through many portals in front of my home and around the world,12/22/22,
11/8/22 21:45,Colorado Springs,CO,USA,Oval,,"We were taking pictures that night of a spectacular (see pics) Lunar Corona of the Full Moon, when later I noticed the UFO in our pics.",12/22/22,Yes
11/8/22 21:30,Orleans,,,Sphere,10 minutes,"Red glowing sphere, slowly moving West to East, stopping and starting multiple times until out of view..it did not disappear-",12/22/22,
11/8/22 20:40,Antwerp,OH,USA,Unknown,3 minutes,Large object flying in sky silently,12/22/22,
11/8/22 20:20,"Thornton Heath, Croydon",Surrey,United Kingdom,Cylinder,5 seconds,"I was driving towards home, I looked up to see the full moon, spotted a large cylinder passing through the clouds overhead.",12/22/22,
11/8/22 20:07,louisville,,USA,Oval,15 minutes,working outside and flew over my left side toward brooks hill.Then another flew right over me and it looked a orb and slowed down,12/22/22,
11/8/22 20:06,Danville,AL,USA,Unknown,55 seconds,A hovering airplane flying unusually low and then jetting off when we got stationary,12/22/22,
11/8/22 19:39,Orange,CT,USA,Fireball,8 seconds,My wife and I were sitting in a parking lot deciding what we wanted for dinner when I saw what I believe was a UFO,12/22/22,
11/8/22 19:00,Nanaimo,BC,Canada,Light,Not sure how long before,Clear sky looking at moon then to the right two bright lights.,12/22/22,
11/8/22 18:00,Paris,,France,Light,2 seconds,Very strange light occurrence in a photograph,12/22/22,
11/8/22 17:23,Mansfield,OH,USA,Changing,2 min,I saw 3 stationary lights in a very clear sky which then disappeared one by one and reappeared in a different formation further south,12/22/22,Yes
11/8/22 09:45,Sydney,New South Wales,Australia,Light,8 min,Thiscannotbeaplane,12/22/22,
11/8/22 05:28,Cumming,GA,USA,Chevron,during the eclipse,object was next to the moon during the eclipse,12/22/22,Yes
11/8/22 05:20,Palm Bay,FL,USA,Light,1 minute,Bright light hovering and then shooting westward,12/22/22,
11/8/22 00:00,Fort Lauderdale,FL,USA,Triangle,5 minutes or more,"Driving near air port when noticed 3 lights in night sky moving together. Stayed a perfect triangle entire time, looked like ship.",12/22/22,
11/7/22 22:20,Everton,MO,USA,Light,Approximately 30 minutes,"As I was driving to Springfield from Everton. Heading down FF highway, I saw Two big lit up objects",12/22/22,Yes
11/7/22 20:35,Calgary,AB,Canada,Cone,Seconds,"Brightly lit cone in sky, shadow underneath. Round shapes on side.",12/22/22,Yes
11/7/22 20:20,Ann arbor,MI,USA,Triangle,30 seconds,Craft was moving slowly south flying low and had a bright lights,12/22/22,
11/7/22 20:00,Msila,M,Algeria,Circle,Half hour,"A flying saucer that rotates on its axis radiant with bright lights, floats in the sky, is about thirty meters above the ground.",12/22/22,
11/7/22 19:39,Belleville,ON,Canada,Sphere,Approximately 45 seconds,"Orange glowing orb sighted over Belleville, Ontario",12/22/22,
11/7/22 19:00,Warrensburg,MO,USA,Diamond,2 encounters 10 - 15 mins,a black diamond shape with 4 lights at each corner being followed by a military jet. The diamond object made no noise unlike the jet.,12/22/22,
11/7/22 18:44,Gaithersburg,,,Unknown,3 minutes,Small blinking and traveling lights,12/22/22,
11/7/22 17:45,Austin,TX,USA,Disk,In photo,I didnt actually see the UFO. There were some beautiful cloud formations and decided to take a couple of photos of the clouds. When I,12/22/22,Yes
11/7/22 17:45,COON RAPIDS,MN,USA,Triangle,About 30 seconds,Solid triangle craft hovering,12/22/22,
11/7/22 17:23,Rockville,MD,USA,Other,about a minute,"Saw this weird flying saucer looking thing, took some photos. It seemed to disappear after I filmed and photographed it for 30 seconds",12/22/22,Yes
11/7/22 17:20,Greenwich,CT,USA,Chevron,15 seconds,it flew low to the ground and it was the driver of the car that pointed it out. it had red and green and white lights on it.,12/22/22,
11/7/22 17:02,Richmond,VA,USA,Fireball,1 or 2 seconds,A bright green fireball with a tail,12/22/22,
11/7/22 05:38,Calabash,NC,USA,Light,Approx. 2 min.,A bright light in the East moving slowly from North to South and leaving a large cloud in its wake.,12/22/22,
11/7/22 05:37,Cape Hatteras,NC,USA,Circle,10 minutes,5-10 minute long round object with large trailing white light,12/22/22,
11/7/22 05:30,Alexandria,VA,USA,Light,1 minute,An orb or some kind of light dancing in and out of one cloud bouncing all around it.,12/22/22,
11/7/22 03:30,Just east of Kansas city at FL330,MO,USA,Changing,More than 20 minutes,Three craft seen circling at what appeared to be very high altitude from multiple airline crews who discussed it over Guard Frequency,12/22/22,
11/7/22 03:18,Wayne,NJ,USA,Unknown,Observed fir 15 minutes,"Red and blue flashing lights, with loud noise that sounded like a lawn mower",12/22/22,
11/7/22 03:00,Macon,GA,USA,Teardrop,Around 2 minutes,Standing on back porch looking at the sky and seen a brief bright blue streak and showed my girlfriend and the light disappeared,12/22/22,
11/7/22 02:45,Morgantown,WV,USA,Disk,Under mind control,Hearing voices for the past 8 months to a year and I have come to conclusion it's from Alien activity.,12/22/22,
11/7/22 02:00,Kansas City,MO,USA,Circle,Under 30 seconds,Saw 8 Circular objects gliding at fast speed like a wing or bird formation then later at 2:40AM saw the same circular objec,12/22/22,
11/6/22 22:54,Muskogee,OK,USA,Triangle,every night,been watching nightly and got high beem green lazor that seems to reflect kindof a glow around it when fixed on corners(lights)&middle,12/22/22,
11/6/22 19:30,Estill Springs,TN,USA,Circle,1hour,Low flying changing physical appearance,12/22/22,
11/6/22 19:20,Brookings,OR,USA,Light,Seen 2 for about 10 secon,Thought was falling star seen through the clouds being chased by same coming from different direction then shot back up then entered wa,12/22/22,
11/6/22 18:45,Haw river,NC,USA,Circle,30 min to an hour,Green circles flying in a circle,12/22/22,Yes
11/6/22 17:11,Kingston,ON,Canada,Light,,Took a picture of a very interesting looking cloud that resembles a tornado in the sky with a line up of unexplained lights above it.,12/22/22,Yes
11/6/22 15:30,Colne,Lancashire,United Kingdom,Oval,30 seconds,Floating potato/oval,12/22/22,
11/6/22 15:24,Tucson,AZ,USA,Changing,10 minutes,2 objects appeared in daylight and disappeared,12/22/22,
11/6/22 11:59,Fairhope,AL,USA,Changing,1 to 2 hours or more,See them daily. Coming close to me now. Saw alien creatures recently. Seen day and night.,12/22/22,Yes
11/6/22 11:45,Las Vegas,NV,USA,Changing,11 seconds,Straight down streak of white caught our left peripheral vision before it became white circle and gone.,12/22/22,
11/6/22 03:47,Fall River,MA,USA,Light,half a minute,"was moving from south to North, stopped abruptly and went straight down until unseen by houses in the area",12/22/22,
11/6/22 03:03,Stratham,NH,USA,Light,10 seconds,"While playing a song on my phone called ""Alien Delivery"" by Mezzaluna, a red light form shot in front of my truck from out of nowhere.",12/22/22,
11/5/22 21:38,Las Cruces,,,Formation,30 minutes - 2 hours,"A blinking/changing constellation shaped object moved across the sky blinking abnormally, seemed to mimic stars",12/22/22,
11/5/22 20:50,Zephyrhills,FL,USA,Cigar,5 seconds or so,rocket like object appeared in night sky and then red and white light was emitted around the object in a slim parabola shape,12/22/22,Yes
11/5/22 18:16,tehran,Tehran Province,Iran,Unknown,30minutes,a very far blue light,12/22/22,Yes
11/5/22 16:30,Lawrence,KS,USA,Circle,5 min,saw a floating transparent white orb that for really bright then disappeared in broad daylight,12/22/22,
11/5/22 12:45,BOYNTON beach,FL,USA,Light,10 minutes,"Single light low on the horizon during the day, disappeared into the ocean came back out continued on.",12/22/22,
11/5/22 08:08,St George,KS,USA,Cylinder,2 minutes,White tick-tack shaped object in the sky,12/22/22,Yes
11/5/22 06:45,Lakeland,FL,USA,Light,15 min,I saw a light (faint)circling and moving back and forth radically,12/22/22,
11/5/22 05:15,Rocksprings,TX,USA,Star,2.5hours,"3 Flickering objects that appeared to be stars, flickering orange/blue, dimmer/brighter, moving erratically",12/22/22,
11/4/22 23:24,Murray,KY,USA,Light,at least 30 minutes,"I saw a star that was moving significantly like a bug or a fish in the sky - irregularly, both in speed and direction.",12/22/22,
11/4/22 23:13,Bogart,,USA,Circle,,Orange ufo,12/22/22,
11/4/22 21:46,Syracuse,NY,USA,Oval,10 seconds,"Very fast moving aircraft, silent and low flying, approximately 50-75 feet above ground",12/22/22,
11/4/22 21:25,BROOKLYN CENTER,MN,USA,Light,30 seconds...many times,Seriously go outside right now!,12/22/22,Yes
11/4/22 21:10,Lafayette,PA,USA,Teardrop,3 seconds,Glowing green tadpole shape,12/22/22,
11/4/22 21:00,Rutherfordton,NC,USA,Other,"Nighttime, before 10pm es","Saw the alien clearly as it passed by moon, then saw a pair of mans legs sticking out behind the alien",12/22/22,Yes
11/4/22 20:28,Lamcaster,SC,USA,Light,Couple seconds 2-3,Green light moving fast,12/22/22,
11/4/22 20:20,San Antonio,TX,USA,Changing,More than 2 weeks,There have been flashing lights and objects flying around.,12/22/22,
11/4/22 18:22,Westport,MA,USA,Fireball,3 minutes,Bright orange orb flying a defined flight path with no sound.,12/22/22,Yes
11/4/22 16:00,Ariel,Central District,Israel,Light,22 seconds,A light moving down the screen.. aorta not seen on video as seemed much brighter and large white glowing unseen on camera,12/22/22,Yes
11/4/22 15:00,Linton,IN,USA,Circle,1-2 minutes,Very shiny silver looking circle,12/22/22,
11/4/22 09:45,Fremont,CA,USA,Sphere,About 10 minutes,"Witnessed large, spherical object, flat on bottom, travel from East to West, then North. Object may have split up (up to 10 objects?).",12/22/22,Yes
11/4/22 09:20,,,,Fireball,,i ws using my tele scope when i looked up and saw something daimond shaped crashing.,12/22/22,
11/4/22 09:15,,,,Cylinder,Few seconds and pictures,I found it later on my phone,12/22/22,Yes
11/4/22 06:45,Stroudsburg,PA,USA,Light,About 2-3 seconds,UAP/UFO seen above mountain sitting still in the air. Shot directly down at unbelievable speeds.,12/22/22,
11/3/22 23:50,Pottstown,PA,USA,Circle,two minutes or so,"white ball very bright, then moved very fast across a section of sky and disappeared. Had a white tail that was quite long.",12/22/22,
11/3/22 23:30,Saltville,VA,USA,Light,Around 20 mins,I saw a bright orange light in the sky.,12/22/22,
11/3/22 23:18,Cochrane,AB,Canada,Rectangle,1min,Two sets of 4 lights about 10km-20km away moving very fast towards each other converged and faded into the distance.,12/22/22,
11/3/22 22:00,Stanley,NY,USA,Light,At least 15 minutes,Bright stationary star suddenly disappears instantly,12/22/22,
11/3/22 21:25,Pensacola,FL,USA,Formation,5 seconds,There was 7 or 6 light balls surrounded by red light in an oval formation in the dark foggy sky.,12/22/22,
11/3/22 21:22,Stoutsville,OH,USA,Circle,,"Round with several others, so bright you couldn't stare at it.",12/22/22,Yes
11/3/22 19:22,Madera,Chihuahua,Mexico,Fireball,Two Minutes,Craft With Huge Tail Drops Tail and Travels Up and Away,12/22/22,
11/3/22 18:53,Columbus,OH,USA,Cylinder,3 seconds,It was a a flash of blueish light in the sky that zipped forward really quickly then just disappeared.,12/22/22,
11/3/22 18:32,Rio Rancho,NM,USA,Oval,5mins,"Saw an oval shape w/ bright lights floating approx 40,000feet in the air. It faded away in an unnatural way. Got some pictures",12/22/22,Yes
11/3/22 18:15,Benton,IL,USA,Triangle,Approximately 1 1/2 min,"Traveling straight up, turning down, sharp angle to the right",12/22/22,
11/3/22 17:00,Sandusky,OH,USA,Other,unsure,Saw UFO with red and white flashing lights,12/22/22,
11/3/22 16:50,New York,NY,USA,Other,10 minutes,I have the video,12/22/22,
11/3/22 13:00,Murphy,NC,USA,Other,25 seconds,Craft above tree line shot off at >400 kn,12/22/22,
11/3/22 12:23,Monroeville,PA,USA,Changing,2 minutes,"large matte gray stationary object rectangular, then changed shape to shiny triangular object",12/22/22,Yes
11/3/22 11:30,Richmond,CA,USA,Circle,2hrs,Seen a circular craft zig zaggin no sound,12/22/22,
11/3/22 01:35,Pittsburgh,PA,USA,Diamond,very brief,Not sure if it was a meteor or what,12/22/22,
11/2/22 23:23,Norman,OK,USA,Light,5 minutes,"Extremely fast moving blinking white light with whitish trail behind, not a plane, falling star or satellite.",12/22/22,
11/2/22 21:43,Columbus,OH,USA,Light,6 seconds,Odd S shaped flight pattern at high speed,12/22/22,
11/2/22 20:30,Everett,WA,USA,Changing,1 sec -3 mins,"Basically more than one sentence needed to explain, I will do my best to summarize below.",12/22/22,Yes
11/2/22 19:23,Lititz,PA,USA,Light,10min,"Bright light sat in the sky, moved, sat & took off",12/22/22,
11/2/22 19:15,Germantown,NY,USA,Triangle,Approximately one hour,"18 people on a local Facebook Group reported a triangular shape object in the sky that some say hovered, 18 people in total posted",12/22/22,
11/2/22 19:00,North east,MD,USA,Fireball,About 5 seconds,Streak of light,12/22/22,
11/2/22 18:41,lebanon,CT,USA,Triangle,SEVERAL HOURS,triangle shaped white and red unit in sky hovering for hours. last night and tonight,12/22/22,
11/2/22 17:28,South Portland,ME,USA,Other,41 minute,Two portal looking objects opened in sky 3 craft traveled between them,12/22/22,Yes
11/2/22 17:15,South Portland,ME,USA,Other,3 minutes,Two portals? Craft flying between them,12/22/22,
11/2/22 01:30,Douglas/Bill,WY,USA,Light,1 second,1 second of bright green light 50 mile radius minimum,12/22/22,
11/2/22 00:20,New York,NY,USA,Unknown,2 seconds,A UFO shot through the sky a short distance and made a loud sound & omitted a flash & disappeared,12/22/22,
11/1/22 23:45,Bellingham,WA,USA,Circle,Less than a minute,"Saw a tight, open bowl shaped formation of small round dots of light move quickly across the sky.",12/22/22,Yes
11/1/22 23:26,Wesley Chapel,FL,USA,Light,2-3 seconds,Bright light traveling hyper speed.,12/22/22,
11/1/22 22:49,FRANKLIN,CT,USA,Triangle,SEVERAL HOURS,"WHAT IS THE RED AND WHITE LIGHT HOVERING OVER FRANKLIN, CT ON 11/1/2022 9PM TO 11:35",12/22/22,
11/1/22 22:45,Sunrise,FL,USA,Light,Seconds,High speed light in the sky,12/22/22,
11/1/22 22:30,Wasaga Beach,ON,Canada,Unknown,5 minutes,Pictures of weird flying object,12/22/22,Yes
11/1/22 22:00,Panama city,FL,USA,Circle,Nightly for 4 or 5 hours,"Is visible below the clouds bright white moves , sometimes wobbles across the sky.. approximately 2 to 3 k feet",12/22/22,
11/1/22 21:47,Inverness,FL,USA,Oval,30 minutes,"Bright irregular, fast, moving light at great altitude.",12/22/22,Yes
11/1/22 21:28,Holladay,UT,USA,Cone,2 seconds,I saw 2 lights appear in the sky that moved to that moved into a cloud and then the lights disappeared,12/22/22,
11/1/22 21:11,Byesville,OH,USA,Circle,All night,They are everywhere flying above tree tops. Very scared send help,12/22/22,
11/1/22 20:15,Adelanto,CA,USA,Light,4-5 minutes,We were just looking at the start and then...,12/22/22,
11/1/22 20:05,Bow,WA,USA,Sphere,Three seconds,A solid light with an orange tint appeared from above us moving at an abnormally fast speed bending direction.,12/22/22,
11/1/22 19:23,Hellam,PA,USA,Light,Roughly 2 minutes,Linear lights in the sky that dont appear to be starlink satellites.,12/22/22,Yes
11/1/22 19:10,daleville,IN,USA,Unknown,2 minutes,Erratically strobed by unknown aerial vehicle,12/22/22,
11/1/22 17:18,San Antonio,TX,USA,Unknown,30 seconds,White object,12/22/22,
11/1/22 05:18,Mount Vernon,WA,USA,Circle,On going,"Caught 2 lights a first then many more appeared, 2 white, 2 red, and one in another area that had 2 close by",12/22/22,
10/31/22 23:30,Rancho mission viejo,CA,USA,Unknown,10-15 seconds,It was more like a long light of orange as if an orange light just opened the light sky. No light shinning down or out of he clouds.,12/22/22,
10/31/22 22:45,New Braunfels,TX,USA,Chevron,7 seconds,Dim gray object flew silently while spreading out into multiple pieces then disappeared,12/22/22,
10/31/22 19:11,Concord,CA,USA,Light,So far its been 40mins,A circle of light flying in a circle motion creating a perfect circle in the sky an fast,12/22/22,
10/31/22 15:32,New Port Richey,FL,USA,Disk,2 minutes,Bright white Flashing lights on the craft,12/22/22,
10/31/22 06:30,Granite lake,SA,Canada,Disk,2 hours,"One craft was seen in front of my friends cabin. Craft kept appearing all around us , we watched them for 2 hours",12/22/22,
10/31/22 04:00,Speculator,NY,USA,Circle,Seconds,"While I know this was about 40 years ago,I wish someone would find it",12/22/22,
10/31/22 03:40,Show Low,AZ,USA,Light,5 seconds in my eyesight,Massive neon green light/fireball with second object trailing 10 min later,12/22/22,
10/31/22 03:00,Saint joe,IN,USA,Circle,Still got,I was digging and I found an reptilian creature in the place I was digging there was a big tank out in the middle of the woods,12/22/22,Yes
10/31/22 02:49,McMinnville,OR,USA,Light,Approximately one minute,Bright light changing shape and pulsing a little on front deck as captured by Nest camera.,12/22/22,Yes
10/31/22 02:13,Colchester,Essex,United Kingdom,Fireball,4 seconds,Me and 2 other friends were roaming around our campus at the University of Campus when both of us spotted a blue light just race across,12/22/22,
10/31/22 00:30,Riverview,NB,Canada,Rectangle,Couple hours,Theres a rectangle shape craft very high up multiple color flashing lights,12/22/22,
10/30/22 22:45,Panama city,FL,USA,Light,5-10 minutes,The light hovered silently in the sky. After 5 or 10 minutes the object shot up in the sky with a bright light that resembled welding.,12/22/22,Yes
10/30/22 22:35,Arvada,CO,USA,Oval,13 mins,Oval shaped object very high moving W to E. Both my Wife and I observed it with the naked eye and binoculars. Definetly not an aircraft,12/22/22,Yes
10/30/22 22:30,Davnport. Fl,FL,USA,Light,Davnport fl,I dont know if its a drone or a UFO,12/22/22,
10/30/22 21:50,Homosassa,FL,USA,Circle,Fifteen min,We were driving and we seen three perfect circles of light in a perfect formation and they flew really fast and a light shot down we se,12/22/22,
10/30/22 21:15,Baltimore,MD,USA,Sphere,5 min,Around 9:30 or so I was sitting on my bed when out the corner of my eye I spotted a bright orange light moving slowly across the sky,12/22/22,
10/30/22 21:00,Denver,CO,USA,Formation,20 seconds,Shape shifting glowing objects flying in formation,12/22/22,
10/30/22 20:01,Slidell through Covington,,,Triangle,7 min,We were driving back from the movies and we were on the interstate and I saw it from a distance and my son noticed it went over us,12/22/22,
10/30/22 19:24,Reading,PA,USA,Circle,4 minutes,4 red steady lights in a large triangular formation,12/22/22,
10/30/22 19:05,Rrochester,NH,USA,Light,30 seconds,Bright fire engine light moving from south to north.,12/22/22,
10/30/22 17:30,Sacramento,CA,USA,Cone,30 minutes,"Observed a object that changed from a square and ended as a cone. It was white and gold, reflected the sun as it was in daylight.",12/22/22,Yes
10/30/22 15:58,Center Point,IA,USA,Other,Unknown,"3 digital pics of 2 conjoined dark cloud circles with illuminated crown of blue/white light in sky at 4 pm on Sun, 30 Oct 2022.",12/22/22,Yes
10/30/22 14:49,Winter Park,,USA,Changing,Tqf,Faqf,12/22/22,
10/30/22 14:44,Navy yard,,,Changing,5 min,2 UFOS Flying over Washington DC,12/22/22,
10/30/22 07:40,Lampasas County,TX,USA,Oval,1minute tops,It was an oval shape with 1 wing. It was moving in an odd way that made me think it is not a satellite.,12/22/22,Yes
10/30/22 06:00,Mason City,IA,USA,Unknown,20 minutes,Saw this on my walk,12/22/22,Yes
10/30/22 02:30,Annapolis,MD,USA,Circle,2 mins,Large light aprox 100 ft diameter solid light a flash light but no glare in eyes,12/22/22,
10/30/22 02:13,Benson,NC,USA,Cylinder,one hour,swaying object in sky,12/22/22,Yes
10/30/22 02:00,Tampa,FL,USA,Disk,Seconds,Photo taken while driving at night,12/22/22,Yes
10/30/22 01:45,Jamestown,NY,USA,Light,45 minutes,story is explanatory,12/22/22,
10/30/22 00:30,Valley View,PA,USA,Light,5 to 10 mins,"2 lights appear, one after another, suddenly disappear, one after another.",12/22/22,
10/29/22 22:00,Topeka,KS,USA,Triangle,15-20 min.,Triangle formation of white lights.,12/22/22,
10/29/22 22:00,Truxton,NY,USA,Cylinder,I watched for about 5 min,"I only saw light, 3 separate objects all alike, first still, then 2 traveled.",12/22/22,
10/29/22 22:00,Orangeville,ON,Canada,Circle,Alll night most nighta,I have hundreds of photos and hdr photos using Astro cam,12/22/22,
10/29/22 21:28,North Royalton,OH,USA,Circle,2 minutes,We saw a light moving very fast approaching and it was too high for a plane and way to fast,12/22/22,
10/29/22 20:59,Altmar,NY,USA,Oval,Maybe 10-15 mins,Lights flashing and hovering moving up down and diagonal very quickly,12/22/22,
10/29/22 20:05,Sheffield,Derbyshire,United Kingdom,Disk,1 hour,Three videos taken during the time of low cloud and a discus type shape moving quickly,12/22/22,
10/29/22 19:40,Austin,TX,USA,Oval,15 minutes,Lights moving above the clouds at greatest speeds,12/22/22,
10/29/22 19:30,Melrose,MA,USA,Changing,15 minutes,About six red dots about 1000 feet up in the sky,12/22/22,
10/29/22 19:00,Port charlotte,FL,USA,Cigar,20-25min,Saw 4 unidentified objects in they sky over a 20 min period,12/22/22,
10/29/22 18:38,Lancaster,PA,USA,Triangle,1 minute,Four orange lights hovering and then disappeared,12/22/22,Yes
10/29/22 16:27,Allumette Island Quebec,Quebec,Canada,Cigar,15-25 seconds,Very large cigar shaped craft traveling quickly in an eastern direction,12/22/22,Yes
10/29/22 13:39,Florence,KY,USA,Triangle,Maybe 2 minutes,"Two pyramid shaped objects appear to be made of highly polished metal, flying in tandem.",12/22/22,Yes
10/29/22 12:00,Yucaipa,CA,USA,Circle,20 or more minutes,A stationary object with pulsing white light was see for more than 20 minutes,12/22/22,
10/29/22 11:45,Oswego,IL,USA,Cylinder,5 minutes,Shimmering Cylindrical Object,12/22/22,
10/29/22 04:40,,,USA,Unknown,several seconds per occur,Pilot reported UFO sighting to Jacksonville ARTCC,12/22/22,
10/29/22 03:10,Denver,CO,USA,Changing,Over an hour,unknown flying object,12/22/22,
10/29/22 02:32,Denver,CO,USA,Chevron,5 minutes,UFO one of 3 seen within 2 hours,12/22/22,
10/28/22 23:38,Tuscola,IL,USA,Formation,Couple days,Stars not stars took pics,12/22/22,
10/28/22 23:28,Daytona Beach,FL,USA,Formation,43 seconds,Massive Orb fleet over Daytona Beach,12/22/22,
10/28/22 21:54,Amarillo,TX,USA,Circle,15-30 minutes,Strange light phenomenon spotted moving in a complete circle above my apartment complex.,12/22/22,
10/28/22 21:35,Kokomo,,,Changing,5 minutes,We noticed something in the sky moving and we looked up it was massive in size then all of a sudden it takes off and vanished,12/22/22,
10/28/22 21:30,Santa Clara,CA,USA,Changing,about 3 seconds,A flashing and big blue colored objects (with red in the edges) flies over the sky quickly,12/22/22,
10/28/22 21:30,Springfield,IL,USA,Circle,5-7 minutes,Noticed a very large bright circular light above my home hovering ..,12/22/22,
10/28/22 21:26,SUSANVILLE,CA,USA,Circle,4 seconds,Oddly slow moving green light coming towards the ground.,12/22/22,
10/28/22 21:08,Aurora,IL,USA,Sphere,40 seconds approximately.,Bright orange sphere flying low without noise or beacons.,12/22/22,
10/28/22 19:49,Rutherfordton,NC,USA,Disk,10 seconds,Floating white disk of light,12/22/22,
10/28/22 19:30,Brisbane,Queensland,Australia,Light,5 seconds,On Friday 28/10/22 7:30pm I saw a very fast white light fly past a plane the object was moving east to west close to the horizon,12/22/22,
10/28/22 17:05,Montgomery,OH,USA,Changing,Over 1 hour,Beautiful day sitting in the hot tub Saw multiple objects moving in the sky. Have multiple videos.,12/22/22,Yes
10/28/22 06:41,Wildwood,FL,USA,Unknown,Lasted 10 sec/ 2 sighting,A light from a far distance traveling speeds not currently possible,12/22/22,
10/28/22 03:00,Birmingham,AL,USA,Disk,3 minutes,I saw it fly in and there was blue lights on it,12/22/22,
10/28/22 02:30,Shrewsbury,Shropshire,United Kingdom,Triangle,Approx 1 minute,Slow Moving Black Triangle Over Fields,12/22/22,Yes
10/28/22 01:00,Las Cruces,NM,USA,Circle,2 minutes,UFO Las Cruces NM,12/22/22,
10/28/22 00:30,Ashburn,GA,USA,Light,20 minutes,Bright slow moving light with spikes that hovered to south and second craft with bright white/red spike,12/22/22,
10/27/22 23:59,osage beach,MO,USA,Cylinder,maybe 10 seconds,A bright light that nice unnaturally,12/22/22,
